station_id,station_name,date,latitude,longitude,covering_granules,raw_station_aod,raw_station_qa,cloud_mask,cloud_mask_name,land_mask,land_mask_name,adjacency_mask,adjacency_mask_name,aod_quality,aod_quality_name,glint_mask,glint_mask_name,aerosol_model,aerosol_model_name,rule_a_valid,rule_a_neighborhood_valid_count,rule_a_neighborhood_mean_aod,rule_b_valid,rule_b_neighborhood_valid_count,rule_b_neighborhood_mean_aod,rule_c_valid,rule_c_neighborhood_valid_count,rule_c_neighborhood_mean_aod
site_5455,SAC ISRO Satellite,2025-02-02,23.023389,72.515201,1402,188.0,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5452,Raikhad,2025-08-28,23.020509,72.579261,1416,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5454,SAC ISRO Bopal,2025-10-16,23.041137,72.456691,1408,335.5,4097.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,1,Glint detected,0,Background (regional),True,2,0.33875,False,0,,True,2,0.33875
site_5450,Gyaspur,2025-07-22,22.977134,72.553024,1433,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5451,Rakhial,2025-08-28,23.016834,72.625775,1416,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_308,Maninagar,2025-07-10,23.002657,72.591912,1473,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5453,Chandkheda,2025-12-29,23.107969,72.574648,1232,,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-01-28,23.023389,72.515201,1369,159.0,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5456,SVPI Airport Hansol,2025-08-17,23.076793,72.627874,1456,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5450,Gyaspur,2025-05-17,22.977134,72.553024,1479,597.0,642.0,2,Possibly Cloudy,0,Land,4,Adjacent to snow,2,Unknown (2),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5453,Chandkheda,2025-06-20,23.107969,72.574648,1489,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5456,SVPI Airport Hansol,2025-10-29,23.076793,72.627874,1368,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-12-28,23.023389,72.515201,1278,757.5,1.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,0,No glint,0,Background (regional),True,2,0.74375,False,0,,True,2,0.74375
site_5453,Chandkheda,2025-04-10,23.107969,72.574648,1467,477.0,4097.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,1,Glint detected,0,Background (regional),True,2,0.4685,False,0,,True,2,0.4685
site_5450,Gyaspur,2025-02-13,22.977134,72.553024,1296,364.0,4097.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,1,Glint detected,0,Background (regional),True,2,0.3715,False,0,,True,2,0.3715
site_5456,SVPI Airport Hansol,2025-08-29,23.076793,72.627874,1441,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5453,Chandkheda,2025-03-28,23.107969,72.574648,1450,329.0,641.5,1,Clear,0,Land,4,Adjacent to snow,2,Unknown (2),0,No glint,0,Background (regional),False,1,0.2765,False,0,,False,1,0.2765
site_5450,Gyaspur,2025-05-29,22.977134,72.553024,1485,948.0,1282.0,2,Possibly Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5451,Rakhial,2025-05-19,23.016834,72.625775,1481,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-05-28,23.023389,72.515201,1363,,1282.5,2,Possibly Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-07-16,23.023389,72.515201,1515,2582.0,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-04-17,23.023389,72.515201,1462,346.0,1.0,1,Clear,0,Land,0,Normal/Clear,0,Best quality,0,No glint,0,Background (regional),True,2,0.35625,False,0,,True,2,0.35625
site_5453,Chandkheda,2025-06-09,23.107969,72.574648,1488,953.0,529.0,1,Clear,2,Snow,0,Normal/Clear,2,Unknown (2),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_308,Maninagar,2025-08-10,23.002657,72.591912,1467,,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5451,Rakhial,2025-10-30,23.016834,72.625775,1342,,1283.0,3,Cloudy,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5455,SAC ISRO Satellite,2025-05-16,23.023389,72.515201,1449,1018.0,642.0,2,Possibly Cloudy,0,Land,4,Adjacent to snow,2,Unknown (2),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5449,SVPS Stadium,2025-03-17,23.04307,72.562968,1437,489.0,642.0,2,Possibly Cloudy,0,Land,4,Adjacent to snow,2,Unknown (2),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
site_5453,Chandkheda,2025-01-28,23.107969,72.574648,1369,162.0,1280.0,0,Undefined,0,Land,0,Normal/Clear,5,No retrieval (cloudy),0,No glint,0,Background (regional),False,0,,False,0,,False,0,
